Feature,Top Mean,Bottom Mean,tokens to include,tokens to avoid,Importance
AAPL,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AARIKA,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AARON,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AAVE,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
AAX,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ABA,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ABANDON,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ABC,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ABOUT,0.03509734027968193,0.007951741157115437,4.413793103448276,0.2265625,0.0006177120166470511
ABOVE,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
ABSOLUTE,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ABSOLUTELY,0.0021935837674801205,0.0005483959418700301,4.0,0.25,0.0
ACCELERATE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ACCEPT,0.0008225939128050452,0.0013709898546750755,0.6,1.6666666666666667,0.0
ACCEPTED,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ACCEPTING,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ACCEPTS,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ACCESS,0.00027419797093501506,0.0010967918837400603,0.25,4.0,0.0
ACCESSIBLE,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ACCESSO,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ACCORDING,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ACCOUNCEMENT,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACCOUNT,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACCOUNTS,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ACCUMULATING,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ACCUMULATION,0.0008225939128050452,0.0005483959418700301,1.5,0.6666666666666666,0.0
ACCURACY,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACCURATE,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
ACH,0.00027419797093501506,0.0024677817384151355,0.11111111111111112,9.0,0.0
ACHIEVABLE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ACHIEVE,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ACQUIRED,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACT,0.0010967918837400603,0.0005483959418700301,2.0,0.5,0.0
ACTAUL,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ACTION,0.0010967918837400603,0.0005483959418700301,2.0,0.5,0.0
ACTIVATED,0.0008225939128050452,0.00027419797093501506,3.0,0.3333333333333333,0.0
ACTIVE,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACTIVISION,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACTUAL,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ACTUALFinancialAdvice,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ACTUALLY,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
AD,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ADA,0.03372635042500686,0.013435700575815739,2.5102040816326534,0.39837398373983735,0.029723810307950387
ADACASH,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ADASWAP,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ADAX,0.0013709898546750755,0.0008225939128050452,1.6666666666666667,0.6,0.0
ADD,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
ADDED,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ADDING,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ADDITIONAL,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ADDRESSING,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ADDS,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
ADIDAS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ADMINISTRATION,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ADMITS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
ADOPT,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
ADOPTING,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ADOPTION,0.003290375651220181,0.0021935837674801205,1.5,0.6666666666666666,0.0
ADS,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ADVANCED,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
ADVANTAGE,0.0005483959418700301,0.0005483959418700301,1.0,1.0,0.0
ADVICE,0.0008225939128050452,0.0008225939128050452,1.0,1.0,0.0
AF,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AFFECT,0.00027419797093501506,0.0008225939128050452,0.3333333333333333,3.0,0.0
AFFECTED,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AFFECTS,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AFFINITY,0.00027419797093501506,0.00027419797093501506,1.0,1.0,0.0
AFRAID,0.0010967918837400603,0.00027419797093501506,4.0,0.25,0.0
AFTER,0.003564573622155196,0.0016451878256100905,2.1666666666666665,0.46153846153846156,0.0
AFTERMATH,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
AGAIN,0.006580751302440362,0.0013709898546750755,4.8,0.20833333333333334,0.0
AGAINST,0.0013709898546750755,0.0008225939128050452,1.6666666666666667,0.6,0.0
AGENDA,0.0005483959418700301,0.00027419797093501506,2.0,0.5,0.0
AGES,0.00027419797093501506,0.0005483959418700301,0.5,2.0,0.0
